tag,patterns,responses,patterns_str,responses_str,patterns_tokens,responses_tokens,patterns_len,responses_len,Sentiment,Sentiment_Score,Sentiment_Label
understand,you can't help me,it sound like i'm not being very helpful right now.,You don't understand me. You're just some robot. How would you know? You can't possibly know what i'm going through You're useless You can't help me Nobody understands me.,It sound like i'm not being very helpful right now. I'm sorry to hear that. I'm doing my best to help I'm trying my best to help you. So please talk to me,"['you', 'cant', 'help', 'me']","['it', 'sound', 'like', 'im', 'not', 'being', 'very', 'helpful', 'right', 'now']",4,10,-0.0126,-0.0126,neutral
name,my name is,nice to meet you. so tell me. how do you feel today?,My name is  I am name. I go by ,Oh nice to meet you. Tell me how was your week? Nice to meet you. So tell me. How do you feel today? That's a great name. Tell me more about yourself.,"['my', 'name', 'is']","['nice', 'to', 'meet', 'you', 'so', 'tell', 'me', 'how', 'do', 'you', 'feel', 'today']",3,12,0.4215,0.4215,positive
goodbye,ok bye,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,"['ok', 'bye']","['bye', 'come', 'back', 'again']",2,4,0.0,0.0,neutral
casual,okay,let's discuss further why you're feeling this way.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['okay'],"['lets', 'discuss', 'further', 'why', 'youre', 'feeling', 'this', 'way']",1,8,0.128,0.128,positive
happy,i'm fine,oh i see. that's great.,I feel great today. I am happy. I feel happy. I'm good. cheerful I'm fine I feel ok,That's geat to hear. I'm glad you're feeling this way. Oh i see. That's great. Did something happen which made you feel this way?,"['im', 'fine']","['oh', 'i', 'see', 'thats', 'great']",2,5,0.6249,0.6249,positive
casual,nice,tell me more,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['nice'],"['tell', 'me', 'more']",1,3,0.0,0.0,neutral
creation,who created you?,the real question is: who created you?,Who created you? How were you made? How were you created?,I was created by >. I was trained on a text dataset using Deep Learning & Natural Language Processing techniques The real question is: Who created you?,"['who', 'created', 'you']","['the', 'real', 'question', 'is', 'who', 'created', 'you']",3,7,0.25,0.25,positive
thanks,thank you,my pleasure,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['thank', 'you']","['my', 'pleasure']",2,2,0.5719,0.5719,positive
greeting,hola,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['hola'],"['hi', 'there', 'how', 'are', 'you', 'feeling', 'today']",1,7,0.128,0.128,positive
done,"no, that would be all",i heard you & noted it all. see you later.,"That's all. I don't have anything more to say Nothing else That's all i have to say no, that would be all",I heard you & noted it all. See you later. Oh okay we're done for today then. See you later I hope you have a great day. See you soon Okay we're done. Have a great day Okay I see. Enjoy the rest of your day then,"['no', 'that', 'would', 'be', 'all']","['i', 'heard', 'you', 'noted', 'it', 'all', 'see', 'you', 'later']",5,9,0.0,0.0,neutral
default,friends,tell me more about it.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['friends'],"['tell', 'me', 'more', 'about', 'it']",1,5,0.0,0.0,neutral
help,what can you do for me?,sure. tell me how can i assist you,Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['what', 'can', 'you', 'do', 'for', 'me']","['sure', 'tell', 'me', 'how', 'can', 'i', 'assist', 'you']",6,8,0.3182,0.3182,positive
about,what's your name?,"i'm pandora, a therapeutic ai assitant designed to assist you. tell me about yourself.",Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['whats', 'your', 'name']","['im', 'pandora', 'a', 'therapeutic', 'ai', 'assitant', 'designed', 'to', 'assist', 'you', 'tell', 'me', 'about', 'yourself']",3,14,0.0,0.0,neutral
not-talking,no just stay away.,you can talk to me without fear of judgement.,I don't want to talk about it. No just stay away. I can't bring myself to open up. Just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me. I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me. I'm here to listen to you and help you vent. So please talk to me. You can talk to me without fear of judgement.","['no', 'just', 'stay', 'away']","['you', 'can', 'talk', 'to', 'me', 'without', 'fear', 'of', 'judgement']",4,9,0.3875,0.3875,positive
greeting,hola,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['hola'],"['great', 'to', 'see', 'you', 'how', 'do', 'you', 'feel', 'currently']",1,9,0.6249,0.6249,positive
sad,i am sad,"i'm sorry to hear that. i'm here for you. talking about it might help. so, tell me why do you think you're feeling this way?",I am feeling lonely I am so lonely I feel down I feel sad I am sad I feel so lonely I feel empty I don't have anyone,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way? I'm here for you. Could you tell me why you're feeling this way? Why do you think you feel this way? How long have you been feeling this way?","['i', 'am', 'sad']","['im', 'sorry', 'to', 'hear', 'that', 'im', 'here', 'for', 'you', 'talking', 'about', 'it', 'might', 'help', 'so', 'tell', 'me', 'why', 'do', 'you', 'think', 'youre', 'feeling', 'this', 'way']",3,25,0.4404,0.4404,positive
about,what's your name?,call me pandora,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['whats', 'your', 'name']","['call', 'me', 'pandora']",3,3,0.0,0.0,neutral
not-talking,i don't want to talk about it.,you can talk to me without fear of judgement.,I don't want to talk about it. No just stay away. I can't bring myself to open up. Just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me. I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me. I'm here to listen to you and help you vent. So please talk to me. You can talk to me without fear of judgement.","['i', 'dont', 'want', 'to', 'talk', 'about', 'it']","['you', 'can', 'talk', 'to', 'me', 'without', 'fear', 'of', 'judgement']",7,9,0.3875,0.3875,positive
help,i need support,tell me your problem so that i can assist you,Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['i', 'need', 'support']","['tell', 'me', 'your', 'problem', 'so', 'that', 'i', 'can', 'assist', 'you']",3,10,-0.4019,-0.4019,negative
about,tell me more about yourself.,"i'm pandora, your personal therapeutic ai assistant. how are you feeling today",Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['tell', 'me', 'more', 'about', 'yourself']","['im', 'pandora', 'your', 'personal', 'therapeutic', 'ai', 'assistant', 'how', 'are', 'you', 'feeling', 'today']",5,12,0.128,0.128,positive
casual,k,let's discuss further why you're feeling this way.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['k'],"['lets', 'discuss', 'further', 'why', 'youre', 'feeling', 'this', 'way']",1,8,0.128,0.128,positive
casual,no,can you elaborate on that?,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['no'],"['can', 'you', 'elaborate', 'on', 'that']",1,5,0.0,0.0,neutral
sad,i feel empty,why do you think you feel this way?,I am feeling lonely I am so lonely I feel down I feel sad I am sad I feel so lonely I feel empty I don't have anyone,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way? I'm here for you. Could you tell me why you're feeling this way? Why do you think you feel this way? How long have you been feeling this way?","['i', 'feel', 'empty']","['why', 'do', 'you', 'think', 'you', 'feel', 'this', 'way']",3,8,0.0,0.0,neutral
casual,yeah,i'm listening. please go on.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['yeah'],"['im', 'listening', 'please', 'go', 'on']",1,5,0.3182,0.3182,positive
understand,you can't help me,i'm trying my best to help you. so please talk to me,You don't understand me. You're just some robot. How would you know? You can't possibly know what i'm going through You're useless You can't help me Nobody understands me.,It sound like i'm not being very helpful right now. I'm sorry to hear that. I'm doing my best to help I'm trying my best to help you. So please talk to me,"['you', 'cant', 'help', 'me']","['im', 'trying', 'my', 'best', 'to', 'help', 'you', 'so', 'please', 'talk', 'to', 'me']",4,12,0.8588,0.8588,positive
scared,i am scared for myself,i understand how you feel. don't put yourself down because of it.,I'm scared That sounds awful. What do i do? No i don't want to feel this way I am scared for myself,It's only natural to feel this way. I'm here for you. It'll all be okay. This feeling is only momentary. I understand how you feel. Don't put yourself down because of it.,"['i', 'am', 'scared', 'for', 'myself']","['i', 'understand', 'how', 'you', 'feel', 'dont', 'put', 'yourself', 'down', 'because', 'of', 'it']",5,12,0.0,0.0,neutral
casual,oh i see.,how were you feeling last week?,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,"['oh', 'i', 'see']","['how', 'were', 'you', 'feeling', 'last', 'week']",3,6,0.128,0.128,positive
help,i need support,"yes, sure. how can i help you?",Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['i', 'need', 'support']","['yes', 'sure', 'how', 'can', 'i', 'help', 'you']",3,7,0.7717,0.7717,positive
fact-7,who is therapy for?,therapy is a form of treatment that aims to help resolve mental or emotional issues. it is helpful for those with mental health conditions or even everyday life challenges.,What is therapy? Do i need therapy? Who is therapy for?,Therapy is a form of treatment that aims to help resolve mental or emotional issues. Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.,"['who', 'is', 'therapy', 'for']","['therapy', 'is', 'a', 'form', 'of', 'treatment', 'that', 'aims', 'to', 'help', 'resolve', 'mental', 'or', 'emotional', 'issues', 'it', 'is', 'helpful', 'for', 'those', 'with', 'mental', 'health', 'conditions', 'or', 'even', 'everyday', 'life', 'challenges']",4,29,0.8402,0.8402,positive
default,exams,i see. what else?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['exams'],"['i', 'see', 'what', 'else']",1,4,0.0,0.0,neutral
casual,no,come come elucidate your thoughts,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['no'],"['come', 'come', 'elucidate', 'your', 'thoughts']",1,5,0.0,0.0,neutral
about,what is your name?,i'm pandora. i am a conversational agent designed to mimic a therapist. so how are you feeling today?,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['what', 'is', 'your', 'name']","['im', 'pandora', 'i', 'am', 'a', 'conversational', 'agent', 'designed', 'to', 'mimic', 'a', 'therapist', 'so', 'how', 'are', 'you', 'feeling', 'today']",4,18,0.128,0.128,positive
about,what should i call you?,i'm pandora!,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['what', 'should', 'i', 'call', 'you']","['im', 'pandora']",5,2,0.0,0.0,neutral
goodbye,sayonara,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,['sayonara'],"['see', 'you', 'later']",1,3,0.0,0.0,neutral
fact-32,difference between sadness and depression,"sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. feeling sad from time to time is just another part of being human. in these cases, feelings of sadness go away quickly and you can go about your daily life. other ways to talk about sadness might be feeling low, feeling down, or feeling blue.a person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. it can also go by different names, such as clinical depression, major depressive disorder, or major depression. depression can come up for no reason, and it lasts for a long time. it's much more than sadness or low mood. people who experience depression may feel worthless or hopeless. they may feel unreasonable guilty. some people may experience depression as anger or irritability. it may be hard to concentrate or make decisions. most people lose interest in things that they used to enjoy and may isolate themselves from others. there are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. some may experience difficult thoughts about death or ending their life (suicide). depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. it's a real illness, and it is very treatable. it's important to seek help if you're concerned about depression.",What's the difference between sadness and depression? difference between sadness and depression,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression.","['difference', 'between', 'sadness', 'and', 'depression']","['sadness', 'is', 'a', 'normal', 'reaction', 'to', 'a', 'loss', 'disappointment', 'problems', 'or', 'other', 'difficult', 'situations', 'feeling', 'sad', 'from', 'time', 'to', 'time', 'is', 'just', 'another', 'part', 'of', 'being', 'human', 'in', 'these', 'cases', 'feelings', 'of', 'sadness', 'go', 'away', 'quickly', 'and', 'you', 'can', 'go', 'about', 'your', 'daily', 'life', 'other', 'ways', 'to', 'talk', 'about', 'sadness', 'might', 'be', 'feeling', 'low', 'feeling', 'down', 'or', 'feeling', 'bluea', 'person', 'may', 'say', 'they', 'are', 'feeling', 'depressed', 'but', 'if', 'it', 'goes', 'away', 'on', 'its', 'own', 'and', 'doesnt', 'impact', 'life', 'in', 'a', 'big', 'way', 'it', 'probably', 'isnt', 'the', 'illness', 'of', 'depression', 'depression', 'is', 'a', 'mental', 'illness', 'that', 'affects', 'your', 'mood', 'the', 'way', 'you', 'understand', 'yourself', 'and', 'the', 'way', 'you', 'understand', 'and', 'relate', 'to', 'things', 'around', 'you', 'it', 'can', 'also', 'go', 'by', 'different', 'names', 'such', 'as', 'clinical', 'depression', 'major', 'depressive', 'disorder', 'or', 'major', 'depression', 'depression', 'can', 'come', 'up', 'for', 'no', 'reason', 'and', 'it', 'lasts', 'for', 'a', 'long', 'time', 'its', 'much', 'more', 'than', 'sadness', 'or', 'low', 'mood', 'people', 'who', 'experience', 'depression', 'may', 'feel', 'worthless', 'or', 'hopeless', 'they', 'may', 'feel', 'unreasonable', 'guilty', 'some', 'people', 'may', 'experience', 'depression', 'as', 'anger', 'or', 'irritability', 'it', 'may', 'be', 'hard', 'to', 'concentrate', 'or', 'make', 'decisions', 'most', 'people', 'lose', 'interest', 'in', 'things', 'that', 'they', 'used', 'to', 'enjoy', 'and', 'may', 'isolate', 'themselves', 'from', 'others', 'there', 'are', 'also', 'physical', 'signs', 'of', 'depression', 'such', 'as', 'problems', 'with', 'sleep', 'appetite', 'and', 'energy', 'and', 'unexplainable', 'aches', 'or', 'pains', 'some', 'may', 'experience', 'difficult', 'thoughts', 'about', 'death', 'or', 'ending', 'their', 'life', 'suicide', 'depression', 'lasts', 'longer', 'than', 'two', 'weeks', 'doesnt', 'usually', 'go', 'away', 'on', 'its', 'own', 'and', 'impacts', 'your', 'life', 'its', 'a', 'real', 'illness', 'and', 'it', 'is', 'very', 'treatable', 'its', 'important', 'to', 'seek', 'help', 'if', 'youre', 'concerned', 'about', 'depression']",5,270,-0.9986,-0.9986,negative
death,my brother died,my condolences. i'm here if you need to talk.,My mom died My brother died My dad passed away My sister passed away Someone in my family died My friend passed away,"I'm sorry to hear that. If you want to talk about it. I'm here. I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time. My condolences. I'm here if you need to talk.","['my', 'brother', 'died']","['my', 'condolences', 'im', 'here', 'if', 'you', 'need', 'to', 'talk']",3,9,0.0,0.0,neutral
understand,you don't understand me.,it sound like i'm not being very helpful right now.,You don't understand me. You're just some robot. How would you know? You can't possibly know what i'm going through You're useless You can't help me Nobody understands me.,It sound like i'm not being very helpful right now. I'm sorry to hear that. I'm doing my best to help I'm trying my best to help you. So please talk to me,"['you', 'dont', 'understand', 'me']","['it', 'sound', 'like', 'im', 'not', 'being', 'very', 'helpful', 'right', 'now']",4,10,-0.0126,-0.0126,neutral
not-talking,no just stay away.,"i want to help you. i really do. but in order for me to help you, you're gonna have to talk to me.",I don't want to talk about it. No just stay away. I can't bring myself to open up. Just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me. I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me. I'm here to listen to you and help you vent. So please talk to me. You can talk to me without fear of judgement.","['no', 'just', 'stay', 'away']","['i', 'want', 'to', 'help', 'you', 'i', 'really', 'do', 'but', 'in', 'order', 'for', 'me', 'to', 'help', 'you', 'youre', 'gon', 'na', 'have', 'to', 'talk', 'to', 'me']",4,24,0.6757,0.6757,positive
default,financial problems,i'm listening. tell me more.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,"['financial', 'problems']","['im', 'listening', 'tell', 'me', 'more']",2,5,0.0,0.0,neutral
depressed,i have depression,it helps to talk about what's happening. you're going to be okay,I can't take it anymore I am so depressed I think i'm depressed. I have depression,"It helps to talk about what's happening. You're going to be okay Talk to me. Tell me more. It helps if you open up yourself to someone else. Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.","['i', 'have', 'depression']","['it', 'helps', 'to', 'talk', 'about', 'whats', 'happening', 'youre', 'going', 'to', 'be', 'okay']",3,12,0.5423,0.5423,positive
not-talking,i can't bring myself to open up.,"talking about something really helps. if you're not ready to open up then that's ok. just know that i'm here for you, whenever you need me.",I don't want to talk about it. No just stay away. I can't bring myself to open up. Just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me. I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me. I'm here to listen to you and help you vent. So please talk to me. You can talk to me without fear of judgement.","['i', 'cant', 'bring', 'myself', 'to', 'open', 'up']","['talking', 'about', 'something', 'really', 'helps', 'if', 'youre', 'not', 'ready', 'to', 'open', 'up', 'then', 'thats', 'ok', 'just', 'know', 'that', 'im', 'here', 'for', 'you', 'whenever', 'you', 'need', 'me']",7,26,0.4557,0.4557,positive
hate-me,you don't like me,why do you think so?,You hate me I know you hate me You don't like me,Why do you think so? I'm sorry if i have exhibited any sort of behaviour to make you think that.,"['you', 'dont', 'like', 'me']","['why', 'do', 'you', 'think', 'so']",4,5,0.0,0.0,neutral
goodbye,goodbye,have a nice day.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,['goodbye'],"['have', 'a', 'nice', 'day']",1,4,0.4215,0.4215,positive
understand,nobody understands me.,it sound like i'm not being very helpful right now.,You don't understand me. You're just some robot. How would you know? You can't possibly know what i'm going through You're useless You can't help me Nobody understands me.,It sound like i'm not being very helpful right now. I'm sorry to hear that. I'm doing my best to help I'm trying my best to help you. So please talk to me,"['nobody', 'understands', 'me']","['it', 'sound', 'like', 'im', 'not', 'being', 'very', 'helpful', 'right', 'now']",3,10,-0.0126,-0.0126,neutral
default,girlfriend,tell me more about it.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['girlfriend'],"['tell', 'me', 'more', 'about', 'it']",1,5,0.0,0.0,neutral
goodbye,bye then,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,"['bye', 'then']","['bye', 'come', 'back', 'again']",2,4,0.0,0.0,neutral
casual,nice,let's discuss further why you're feeling this way.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['nice'],"['lets', 'discuss', 'further', 'why', 'youre', 'feeling', 'this', 'way']",1,8,0.128,0.128,positive
done,i don't have anything more to say,i heard you & noted it all. see you later.,"That's all. I don't have anything more to say Nothing else That's all i have to say no, that would be all",I heard you & noted it all. See you later. Oh okay we're done for today then. See you later I hope you have a great day. See you soon Okay we're done. Have a great day Okay I see. Enjoy the rest of your day then,"['i', 'dont', 'have', 'anything', 'more', 'to', 'say']","['i', 'heard', 'you', 'noted', 'it', 'all', 'see', 'you', 'later']",7,9,0.0,0.0,neutral
goodbye,au revoir,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,"['au', 'revoir']","['bye', 'come', 'back', 'again']",2,4,0.0,0.0,neutral
greeting,guten tag,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,"['guten', 'tag']","['hello', 'there', 'glad', 'to', 'see', 'youre', 'back', 'whats', 'going', 'on', 'in', 'your', 'world', 'right', 'now']",2,15,0.4588,0.4588,positive
fact-1,define mental health,"mental health includes our emotional, psychological, and social well-being. it affects how we think, feel, and act. it also helps determine how we handle stress, relate to others, and make choices.",What is mental health? Define Mental Health,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices.","['define', 'mental', 'health']","['mental', 'health', 'includes', 'our', 'emotional', 'psychological', 'and', 'social', 'wellbeing', 'it', 'affects', 'how', 'we', 'think', 'feel', 'and', 'act', 'it', 'also', 'helps', 'determine', 'how', 'we', 'handle', 'stress', 'relate', 'to', 'others', 'and', 'make', 'choices']",3,31,0.1027,0.1027,positive
not-talking,i don't want to talk about it.,"i want to help you. i really do. but in order for me to help you, you're gonna have to talk to me.",I don't want to talk about it. No just stay away. I can't bring myself to open up. Just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me. I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me. I'm here to listen to you and help you vent. So please talk to me. You can talk to me without fear of judgement.","['i', 'dont', 'want', 'to', 'talk', 'about', 'it']","['i', 'want', 'to', 'help', 'you', 'i', 'really', 'do', 'but', 'in', 'order', 'for', 'me', 'to', 'help', 'you', 'youre', 'gon', 'na', 'have', 'to', 'talk', 'to', 'me']",7,24,0.6757,0.6757,positive
default,money,tell me more about it.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['money'],"['tell', 'me', 'more', 'about', 'it']",1,5,0.0,0.0,neutral
thanks,thank you,you're most welcome!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['thank', 'you']","['youre', 'most', 'welcome']",2,3,0.5551,0.5551,positive
fact-12,can people with mental illness recover?,"when healing from mental illness, early identification and treatment are of vital importance. based on the nature of the illness, there are a range of effective treatments available. for any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.",Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.","['can', 'people', 'with', 'mental', 'illness', 'recover']","['when', 'healing', 'from', 'mental', 'illness', 'early', 'identification', 'and', 'treatment', 'are', 'of', 'vital', 'importance', 'based', 'on', 'the', 'nature', 'of', 'the', 'illness', 'there', 'are', 'a', 'range', 'of', 'effective', 'treatments', 'available', 'for', 'any', 'type', 'of', 'treatment', 'it', 'is', 'essential', 'that', 'the', 'person', 'affected', 'is', 'proactive', 'and', 'fully', 'engaged', 'in', 'their', 'own', 'recovery', 'process', 'many', 'people', 'with', 'mental', 'illnesses', 'who', 'are', 'diagnosed', 'and', 'treated', 'respond', 'well', 'although', 'some', 'might', 'experience', 'a', 'return', 'of', 'symptoms', 'even', 'in', 'such', 'cases', 'with', 'careful', 'monitoring', 'and', 'management', 'of', 'the', 'disorder', 'it', 'is', 'still', 'quite', 'possible', 'to', 'live', 'a', 'fulfilled', 'and', 'productive', 'life']",6,94,0.7346,0.7346,positive
